feature_base,shared_fwd_top_logits,shared_fwd_bottom_logits,shared_fwd_max_toks,shared_bwd_top_logits,shared_bwd_bottom_logits,shared_bwd_max_toks
2500,5,0,1,5,0,1
5156,7,0,4,5,3,1
3231,8,0,3,7,4,2
6138,5,3,2,0,1,0
5110,5,0,2,5,1,3
8,9,0,6,7,4,6
1256,4,0,6,4,3,4
1122,7,0,1,7,1,1
3730,0,3,2,3,3,2
207,6,1,4,5,0,2
3202,5,1,5,6,0,3
403,7,0,2,4,2,1
2199,0,4,1,0,2,1
4149,0,1,1,3,0,3
3191,8,0,3,7,4,3
1696,6,0,3,6,3,3
3991,8,1,5,5,3,4
627,7,3,1,1,4,2
586,5,0,4,4,1,5
1648,5,2,4,5,5,2
4039,6,0,4,3,6,3
5539,8,0,7,8,4,3
5541,1,2,1,1,0,0
4199,7,1,8,6,2,7
3923,6,5,5,5,6,4
2301,8,0,6,8,3,6
1250,0,7,2,1,3,1
3183,9,0,7,6,2,6
4605,9,4,1,7,4,1
5592,0,2,2,0,4,1
2146,9,1,4,6,0,2
2200,8,0,5,5,2,4
1884,0,0,0,6,5,1
913,8,0,5,4,2,3
6015,6,0,2,5,0,0
4973,0,0,0,0,0,1
3777,0,3,1,2,1,1
4917,3,6,0,2,0,1
1186,5,0,3,2,1,2
5839,8,0,3,9,6,2
956,8,3,4,9,5,6
3752,3,6,3,3,2,2
4067,10,1,3,9,3,4
2208,7,0,4,7,1,2
3651,8,7,1,7,1,1
800,0,0,0,1,3,4
5396,3,0,4,6,3,2
815,8,0,3,9,1,4
1939,6,5,3,0,2,0
1527,7,4,2,8,4,3
1919,8,0,7,7,2,6
5511,2,5,2,1,1,0
1158,5,0,6,5,5,4
3266,6,0,3,2,1,2
4496,7,0,4,7,3,2
639,0,0,1,1,0,0
687,7,0,7,4,2,1
2507,0,6,2,0,0,1
6002,7,2,4,6,2,3
4565,8,0,4,6,2,0
5494,3,2,4,1,1,2
3093,2,0,5,0,3,1
749,9,0,4,9,5,4
3741,7,0,3,4,1,2
4133,6,2,1,1,0,2
4325,0,0,1,7,1,1
1388,1,0,2,5,2,2
2610,7,0,1,7,6,1
4533,4,6,4,1,4,2
5895,8,0,4,4,5,3
5402,9,4,4,7,4,1
4122,9,0,3,8,3,4
2273,6,8,4,6,1,2
3348,0,0,3,1,1,2
4893,8,0,1,8,9,1
5728,5,0,1,0,7,1
283,3,5,2,1,0,1
4974,8,0,2,7,6,2
5055,0,4,1,6,3,3
5600,2,1,1,0,0,0
4548,7,0,6,7,1,3
1019,0,0,0,8,1,3
3900,9,2,4,7,1,3
2863,5,0,1,7,6,1
658,10,1,8,7,0,5
5635,0,6,3,3,6,3
546,8,7,5,6,1,3
1215,8,0,5,9,5,4
5168,7,1,1,8,3,1
1535,0,0,0,6,0,6
2064,6,0,5,5,1,4
1195,6,0,5,5,3,5
1243,0,0,0,0,0,0
157,3,0,2,7,2,2
2524,9,0,4,5,6,3
5165,0,7,0,1,3,0
3444,6,0,1,6,0,1
517,0,0,0,9,7,0
1915,9,2,3,3,2,0
5864,10,0,4,9,3,3
3108,5,0,3,4,4,3
4375,1,3,4,2,4,3
1372,6,0,2,6,7,4
2544,9,1,3,8,4,4
4397,7,0,3,9,1,1
4276,9,0,5,7,2,3
2654,10,0,3,10,7,8
5088,9,0,5,6,3,3
5235,5,0,4,3,1,2
4286,3,6,0,1,4,1
5076,7,0,5,5,0,4
2975,9,6,3,7,3,3
4054,1,5,0,0,0,0
3232,0,6,1,0,3,1
3327,7,0,3,5,0,3
1346,8,4,3,5,4,5
127,9,3,2,0,2,2
17,4,0,3,1,3,3
1816,7,0,3,5,0,2
2025,1,1,1,0,0,1
